family_id,fail_count_of_3,dominant_layer,family_types
microsoftInternal__NAV-176194,3,L4,unsolved|unsolved|unsolved
microsoftInternal__NAV-201169,3,L4,unsolved|unsolved|unsolved
microsoftInternal__NAV-175765,3,L4,fragile|fragile|unsolved
microsoftInternal__NAV-176082,3,L4,fragile|fragile|fragile
microsoftInternal__NAV-183399,3,L1,unsolved|unsolved|unsolved
microsoftInternal__NAV-205825,3,L2,fragile|fragile|fragile
microsoftInternal__NAV-209450,3,L4,unsolved|unsolved|unsolved
microsoftInternal__NAV-215972,3,L4,fragile|fragile|fragile
microsoftInternal__NAV-208649,3,L4,unsolved|fragile|fragile
microsoftInternal__NAV-176426,3,L3,inconsistent|inconsistent|unsolved
microsoftInternal__NAV-177493,3,L3,fragile|fragile|fragile
microsoftInternal__NAV-178045,3,L4,unsolved|unsolved|unsolved
microsoftInternal__NAV-179733,3,L4,fragile|fragile|fragile
microsoftInternal__NAV-182354,3,L4,unsolved|unsolved|unsolved
microsoftInternal__NAV-203923,3,L4,fragile|fragile|fragile
microsoftInternal__NAV-206527,3,L4,unsolved|unsolved|unsolved
microsoftInternal__NAV-210200,3,L4,unsolved|inconsistent|inconsistent
microsoftInternal__NAV-218323,3,L4,fragile|unsolved|fragile
microsoft__BCApps-4699,3,L4,fragile|fragile|unsolved
microsoft__BCApps-5633,3,L4,unsolved|unsolved|unsolved
microsoftInternal__NAV-216918,3,L4,inconsistent|inconsistent|inconsistent
microsoftInternal__NAV-223790,3,L4,unsolved|inconsistent|fragile
microsoftInternal__NAV-188438,3,L4,inconsistent|unsolved|inconsistent
microsoftInternal__NAV-218062,3,L5,inconsistent|inconsistent|unsolved
microsoftInternal__NAV-222484,3,L4,unsolved|inconsistent|inconsistent
microsoftInternal__NAV-223493,3,L4,fragile|inconsistent|inconsistent
microsoftInternal__NAV-180484,3,,inconsistent|inconsistent|inconsistent
microsoftInternal__NAV-220036,3,,inconsistent|inconsistent|inconsistent
microsoftInternal__NAV-195193,2,L4,stable-correct|unsolved|inconsistent
microsoftInternal__NAV-174794,2,L5,fragile|stable-correct|fragile
